keyword,tech_1,tech_1_confidence,tech_2,tech_2_confidence,notes
outbound,Create Snapshot,0.33,Internal Proxy,0.33,Proxy (confidence: 0.33)
connection,Exfiltration Over Other Network Medium,0.11,Clear Network Connection History and Configurations,0.11,External Proxy (confidence: 0.08); Proxy (confidence: 0.05); Network Denial of Service (confidence: 0.05); Socket Filters (confidence: 0.05); Asymmetric Cryptography (confidence: 0.03); Password Spraying (confidence: 0.03); Network Sniffing (confidence: 0.03); Network Device CLI (confidence: 0.03); Browser Session Hijacking (confidence: 0.03); Remote Access Software (confidence: 0.03); Trusted Relationship (confidence: 0.03); Patch System Image (confidence: 0.03); Unix Shell Configuration Modification (confidence: 0.03); Password Guessing (confidence: 0.03); OS Exhaustion Flood (confidence: 0.03); Environmental Keying (confidence: 0.03); Service Exhaustion Flood (confidence: 0.03); Install Root Certificate (confidence: 0.03); Port Knocking (confidence: 0.03); Transmitted Data Manipulation (confidence: 0.03); AppleScript (confidence: 0.03); Exfiltration Over Bluetooth (confidence: 0.03); Fast Flux DNS (confidence: 0.03); Internal Proxy (confidence: 0.03); SSH Hijacking (confidence: 0.03)
variant,Multi-hop Proxy,0.2,Spearphishing via Service,0.2,Spearphishing Link (confidence: 0.2); Spearphishing Attachment (confidence: 0.2); Bootkit (confidence: 0.2)
Microsoft,IIS Components,0.02,Email Hiding Rules,0.02,Steal Application Access Token (confidence: 0.02); SIP and Trust Provider Hijacking (confidence: 0.02); Compiled HTML File (confidence: 0.02); Image File Execution Options Injection (confidence: 0.02); Visual Basic (confidence: 0.02); Dynamic Data Exchange (confidence: 0.01); Time Providers (confidence: 0.01); MMC (confidence: 0.01); Distributed Component Object Model (confidence: 0.01); Device Registration (confidence: 0.01); SAML Tokens (confidence: 0.01); Windows Credential Manager (confidence: 0.01); Email Forwarding Rule (confidence: 0.01); Email Account (confidence: 0.01); DLL Search Order Hijacking (confidence: 0.01); BITS Jobs (confidence: 0.01); Native API (confidence: 0.01); Code Signing Policy Modification (confidence: 0.01); DCSync (confidence: 0.01); Cloud Account (confidence: 0.01); SID-History Injection (confidence: 0.01); Kerberoasting (confidence: 0.01); Path Interception by Search Order Hijacking (confidence: 0.01); NTFS File Attributes (confidence: 0.01); MSBuild (confidence: 0.01); Msiexec (confidence: 0.01); COR_PROFILER (confidence: 0.01); Change Default File Association (confidence: 0.01); Registry Run Keys / Startup Folder (confidence: 0.01); Control Panel (confidence: 0.01); CMSTP (confidence: 0.01); Additional Cloud Roles (confidence: 0.01); Process Doppelgänging (confidence: 0.01); Extra Window Memory Injection (confidence: 0.01); Asynchronous Procedure Call (confidence: 0.01); Transport Agent (confidence: 0.01); SQL Stored Procedures (confidence: 0.01); Office Template Macros (confidence: 0.01); XSL Script Processing (confidence: 0.01); Modify Registry (confidence: 0.01); JavaScript (confidence: 0.01); Device Driver Discovery (confidence: 0.01); Acquire Access (confidence: 0.01); Mavinject (confidence: 0.01); Terminal Services DLL (confidence: 0.01); Exfiltration Over Alternative Protocol (confidence: 0.01); Office Test (confidence: 0.01); Add-ins (confidence: 0.01); Fileless Storage (confidence: 0.01); Component Object Model (confidence: 0.01); Credential API Hooking (confidence: 0.01); Group Policy Preferences (confidence: 0.01); Windows File and Directory Permissions Modification (confidence: 0.01); Additional Cloud Credentials (confidence: 0.01); Cloud Account (confidence: 0.01); Additional Email Delegate Permissions (confidence: 0.01); Boot or Logon Autostart Execution (confidence: 0.01); Safe Mode Boot (confidence: 0.01); Odbcconf (confidence: 0.01); Regsvr32 (confidence: 0.01); Domain Trust Discovery (confidence: 0.01); Credentials from Web Browsers (confidence: 0.01); Cloud Groups (confidence: 0.01); Template Injection (confidence: 0.01); System Script Proxy Execution (confidence: 0.01); Office Application Startup (confidence: 0.01); System Binary Proxy Execution (confidence: 0.01); Cloud Administration Command (confidence: 0.01); Exploitation for Client Execution (confidence: 0.01); Indicator Blocking (confidence: 0.01); Mshta (confidence: 0.0); Non-Application Layer Protocol (confidence: 0.0); InstallUtil (confidence: 0.0); Cloud Accounts (confidence: 0.0); Multi-Factor Authentication Request Generation (confidence: 0.0); Regsvcs/Regasm (confidence: 0.0); Event Triggered Execution (confidence: 0.0); System Information Discovery (confidence: 0.0); Serverless Execution (confidence: 0.0); System Network Connections Discovery (confidence: 0.0); Forced Authentication (confidence: 0.0); Command Obfuscation (confidence: 0.0); Clear Network Connection History and Configurations (confidence: 0.0); Cloud Accounts (confidence: 0.0); ListPlanting (confidence: 0.0); Cloud Service Discovery (confidence: 0.0); Data from Cloud Storage (confidence: 0.0); Embedded Payloads (confidence: 0.0); System Shutdown/Reboot (confidence: 0.0); Cloud Services (confidence: 0.0); Outlook Rules (confidence: 0.0); Trusted Relationship (confidence: 0.0); Domain Policy Modification (confidence: 0.0); Supply Chain Compromise (confidence: 0.0); Outlook Forms (confidence: 0.0); Outlook Home Page (confidence: 0.0); Installer Packages (confidence: 0.0); Steal or Forge Authentication Certificates (confidence: 0.0); Clear Mailbox Data (confidence: 0.0); Cloud API (confidence: 0.0); Cloud Infrastructure Discovery (confidence: 0.0); Process Argument Spoofing (confidence: 0.0); PowerShell (confidence: 0.0); Print Processors (confidence: 0.0); Cached Domain Credentials (confidence: 0.0); LSA Secrets (confidence: 0.0); Impair Command History Logging (confidence: 0.0); Phishing for Information (confidence: 0.0); RDP Hijacking (confidence: 0.0); Phishing (confidence: 0.0); Spearphishing Attachment (confidence: 0.0); Spearphishing Link (confidence: 0.0); Email Accounts (confidence: 0.0); Windows Management Instrumentation Event Subscription (confidence: 0.0); Service Execution (confidence: 0.0); Path Interception by Unquoted Path (confidence: 0.0); Compromise Accounts (confidence: 0.0); Domains (confidence: 0.0); Default Accounts (confidence: 0.0); Domain Accounts (confidence: 0.0); VBA Stomping (confidence: 0.0); Cloud Accounts (confidence: 0.0); Component Object Model Hijacking (confidence: 0.0); Local Email Collection (confidence: 0.0); Disable Cloud Logs (confidence: 0.0); Parent PID Spoofing (confidence: 0.0); Create Process with Token (confidence: 0.0); Application Shimming (confidence: 0.0); Group Policy Discovery (confidence: 0.0); AS-REP Roasting (confidence: 0.0); LSASS Driver (confidence: 0.0); System Location Discovery (confidence: 0.0); Application Access Token (confidence: 0.0); Clear Command History (confidence: 0.0); File Deletion (confidence: 0.0); PubPrn (confidence: 0.0); Private Keys (confidence: 0.0); Mark-of-the-Web Bypass (confidence: 0.0); Remote Desktop Protocol (confidence: 0.0); SMB/Windows Admin Shares (confidence: 0.0); Domain Trust Modification (confidence: 0.0); Windows Remote Management (confidence: 0.0); Group Policy Modification (confidence: 0.0); Forge Web Credentials (confidence: 0.0); LLMNR/NBT-NS Poisoning and SMB Relay (confidence: 0.0); Steal or Forge Kerberos Tickets (confidence: 0.0); PowerShell Profile (confidence: 0.0)
file,Masquerade File Type,0.04,Hidden File System,0.04,Double File Extension (confidence: 0.04); SIP and Trust Provider Hijacking (confidence: 0.02); Change Default File Association (confidence: 0.02); Clear Command History (confidence: 0.02); SSH Authorized Keys (confidence: 0.02); Space after Filename (confidence: 0.02); Template Injection (confidence: 0.02); Patch System Image (confidence: 0.02); Sudo and Sudo Caching (confidence: 0.02); Binary Padding (confidence: 0.01); Linux and Mac File and Directory Permissions Modification (confidence: 0.01); Bash History (confidence: 0.01); Steal or Forge Kerberos Tickets (confidence: 0.01); Impair Command History Logging (confidence: 0.01); Malicious File (confidence: 0.01); Windows File and Directory Permissions Modification (confidence: 0.01); Spearphishing Attachment (confidence: 0.01); File and Directory Permissions Modification (confidence: 0.01); Process Doppelgänging (confidence: 0.01); Direct Volume Access (confidence: 0.01); Forced Authentication (confidence: 0.01); Mark-of-the-Web Bypass (confidence: 0.01); XSL Script Processing (confidence: 0.01); Timestomp (confidence: 0.01); Plist File Modification (confidence: 0.01); Login Items (confidence: 0.01); Control Panel (confidence: 0.01); At (confidence: 0.01); Login Hook (confidence: 0.01); Setuid and Setgid (confidence: 0.01); Office Template Macros (confidence: 0.01); Rundll32 (confidence: 0.01); Gatekeeper Bypass (confidence: 0.01); Right-to-Left Override (confidence: 0.01); Deobfuscate/Decode Files or Information (confidence: 0.01); SMB/Windows Admin Shares (confidence: 0.01); File and Directory Discovery (confidence: 0.01); Re-opened Applications (confidence: 0.01); Hidden Files and Directories (confidence: 0.01); Unix Shell Configuration Modification (confidence: 0.01); Fileless Storage (confidence: 0.01); Indicator Removal from Tools (confidence: 0.01); Spearphishing Attachment (confidence: 0.01); Systemd Timers (confidence: 0.01); Downgrade System Image (confidence: 0.01); Terminal Services DLL (confidence: 0.01); NTFS File Attributes (confidence: 0.01); Lateral Tool Transfer (confidence: 0.01); Cron (confidence: 0.01); Credentials In Files (confidence: 0.01); Emond (confidence: 0.01); Modify System Image (confidence: 0.01); Windows Service (confidence: 0.01); Systemd Service (confidence: 0.01); Launch Agent (confidence: 0.01); XDG Autostart Entries (confidence: 0.01); MMC (confidence: 0.01); Transfer Data to Cloud Account (confidence: 0.01); User Execution (confidence: 0.01); BITS Jobs (confidence: 0.01); Exploitation for Client Execution (confidence: 0.01); Dynamic API Resolution (confidence: 0.01); Shared Modules (confidence: 0.01); Taint Shared Content (confidence: 0.01); Masquerading (confidence: 0.01); Obfuscated Files or Information (confidence: 0.01); Embedded Payloads (confidence: 0.01); Private Keys (confidence: 0.01); Data from Local System (confidence: 0.01); Match Legitimate Name or Location (confidence: 0.01); DLL Search Order Hijacking (confidence: 0.01); Stored Data Manipulation (confidence: 0.01); Disk Structure Wipe (confidence: 0.01); Security Account Manager (confidence: 0.01); NTDS (confidence: 0.01); AppleScript (confidence: 0.01); Data Destruction (confidence: 0.0); Data Encrypted for Impact (confidence: 0.0); Resource Forking (confidence: 0.0); Inhibit System Recovery (confidence: 0.0); Wordlist Scanning (confidence: 0.0); Archive via Utility (confidence: 0.0); Indirect Command Execution (confidence: 0.0); Local Email Collection (confidence: 0.0); Executable Installer File Permissions Weakness (confidence: 0.0); Local Account (confidence: 0.0); Browser Extensions (confidence: 0.0); Steganography (confidence: 0.0); Services File Permissions Weakness (confidence: 0.0); Multi-Factor Authentication (confidence: 0.0); Network Share Discovery (confidence: 0.0); Reflective Code Loading (confidence: 0.0); System Time Discovery (confidence: 0.0); Automated Collection (confidence: 0.0); Replication Through Removable Media (confidence: 0.0); Hybrid Identity (confidence: 0.0); Hijack Execution Flow (confidence: 0.0); Data Staged (confidence: 0.0); Scheduled Task/Job (confidence: 0.0); Data from Network Shared Drive (confidence: 0.0); Spearphishing via Service (confidence: 0.0); System Checks (confidence: 0.0); Remote Services (confidence: 0.0); Credentials from Web Browsers (confidence: 0.0); HTML Smuggling (confidence: 0.0); Keychain (confidence: 0.0); Accessibility Features (confidence: 0.0); Hidden Users (confidence: 0.0); Local Data Staging (confidence: 0.0); Remote Data Staging (confidence: 0.0); Dynamic Linker Hijacking (confidence: 0.0); Indicator Blocking (confidence: 0.0); PubPrn (confidence: 0.0); MSBuild (confidence: 0.0); Run Virtual Instance (confidence: 0.0); Bypass User Account Control (confidence: 0.0); Verclsid (confidence: 0.0); Clear Windows Event Logs (confidence: 0.0); Path Interception by Search Order Hijacking (confidence: 0.0); Path Interception by Unquoted Path (confidence: 0.0); SSH (confidence: 0.0); Dynamic Data Exchange (confidence: 0.0); Python (confidence: 0.0); Regsvr32 (confidence: 0.0); Compiled HTML File (confidence: 0.0); CMSTP (confidence: 0.0); Network Device Configuration Dump (confidence: 0.0); Group Policy Preferences (confidence: 0.0); Proc Filesystem (confidence: 0.0); Services Registry Permissions Weakness (confidence: 0.0); RC Scripts (confidence: 0.0); Windows Credential Manager (confidence: 0.0); Portable Executable Injection (confidence: 0.0); Dynamic-link Library Injection (confidence: 0.0); Software Packing (confidence: 0.0); Screensaver (confidence: 0.0)
Adobe,Code Repositories,0.5,Exploitation for Client Execution,0.5,
exploit,Exploits,0.16,Exploits,0.14,Exploitation for Client Execution (confidence: 0.11); Drive-by Compromise (confidence: 0.09); Exploit Public-Facing Application (confidence: 0.07); Exploitation for Privilege Escalation (confidence: 0.05); Spearphishing Link (confidence: 0.05); Application or System Exploitation (confidence: 0.05); Drive-by Target (confidence: 0.05); Exploitation for Defense Evasion (confidence: 0.02); Taint Shared Content (confidence: 0.02); Exploitation of Remote Services (confidence: 0.02); Escape to Host (confidence: 0.02); Exploitation for Credential Access (confidence: 0.02); Template Injection (confidence: 0.02); Cloud Instance Metadata API (confidence: 0.02); Disable or Modify Tools (confidence: 0.02); Vulnerability Scanning (confidence: 0.02); Vulnerabilities (confidence: 0.02); Internal Spearphishing (confidence: 0.02)
request,Application Access Token,0.1,ARP Cache Poisoning,0.1,Forced Authentication (confidence: 0.06); Cloud Infrastructure Discovery (confidence: 0.06); Security Software Discovery (confidence: 0.03); Extra Window Memory Injection (confidence: 0.03); Pass the Ticket (confidence: 0.03); Kerberoasting (confidence: 0.03); Cloud Instance Metadata API (confidence: 0.03); Password Filter DLL (confidence: 0.03); Steal or Forge Kerberos Tickets (confidence: 0.03); Golden Ticket (confidence: 0.03); Service Exhaustion Flood (confidence: 0.03); Steal or Forge Authentication Certificates (confidence: 0.03); Spearphishing Link (confidence: 0.03); Multi-Factor Authentication Request Generation (confidence: 0.03); Bidirectional Communication (confidence: 0.03); Non-Standard Encoding (confidence: 0.03); SSH Authorized Keys (confidence: 0.03); Spearphishing Attachment (confidence: 0.03); Windows Credential Manager (confidence: 0.03); Forge Web Credentials (confidence: 0.03); Build Image on Host (confidence: 0.03); DHCP Spoofing (confidence: 0.03); Path Interception by Search Order Hijacking (confidence: 0.03)
Internet,Non-Application Layer Protocol,0.08,IIS Components,0.06,Browser Extensions (confidence: 0.06); Mark-of-the-Web Bypass (confidence: 0.06); Mshta (confidence: 0.06); WHOIS (confidence: 0.06); Exfiltration to Cloud Storage (confidence: 0.03); Exploit Public-Facing Application (confidence: 0.03); Steal Web Session Cookie (confidence: 0.03); Compiled HTML File (confidence: 0.03); Subvert Trust Controls (confidence: 0.03); Credentials from Web Browsers (confidence: 0.03); Direct Network Flood (confidence: 0.03); PowerShell (confidence: 0.03); Visual Basic (confidence: 0.03); External Proxy (confidence: 0.03); Exfiltration Over Bluetooth (confidence: 0.03); Upload Tool (confidence: 0.03); Multi-hop Proxy (confidence: 0.03); Protocol Tunneling (confidence: 0.03); JavaScript (confidence: 0.03); IP Addresses (confidence: 0.03); Scan Databases (confidence: 0.03); Windows Credential Manager (confidence: 0.03); Forge Web Credentials (confidence: 0.03); Web Cookies (confidence: 0.03); Internet Connection Discovery (confidence: 0.03); Upload Malware (confidence: 0.03); Exfiltration Over Other Network Medium (confidence: 0.03)
Explorer,Mshta,0.25,Windows Credential Manager,0.12,Verclsid (confidence: 0.12); JavaScript (confidence: 0.12); Visual Basic (confidence: 0.12); Credentials from Web Browsers (confidence: 0.12); Compiled HTML File (confidence: 0.12)
